epoch,steps,accuracy_cosinus,accuracy_manhattan,accuracy_euclidean
0,-1,0.8521855188521855,0.8515181848515182,0.8515181848515182
1,-1,0.8832165498832165,0.8848848848848849,0.8858858858858859
2,-1,0.8898898898898899,0.8905572238905572,0.8895562228895563
3,-1,0.9065732399065732,0.9095762429095763,0.9102435769102436
4,-1,0.9099099099099099,0.9115782449115782,0.9112445779112446
0,-1,0.8591925258591925,0.8595261928595261,0.8581915248581915
1,-1,0.8865532198865532,0.8862195528862196,0.8875542208875542
2,-1,0.8902235568902236,0.8902235568902236,0.8912245578912246
3,-1,0.9092425759092426,0.9072405739072406,0.9069069069069069
4,-1,0.9035702369035702,0.9045712379045713,0.9039039039039038
5,-1,0.9212545879212546,0.9235902569235902,0.9232565899232565
6,-1,0.9259259259259259,0.9252585919252586,0.9262595929262596
7,-1,0.9406072739406073,0.9386052719386053,0.9392726059392726
8,-1,0.944944944944945,0.9442776109442776,0.943943943943944
9,-1,0.954954954954955,0.9532866199532867,0.9542876209542877
10,-1,0.9512846179512846,0.950950950950951,0.9512846179512846
11,-1,0.9612946279612946,0.9636302969636303,0.9629629629629629
12,-1,0.9629629629629629,0.9619619619619619,0.9629629629629629
13,-1,0.970970970970971,0.9716383049716383,0.9706373039706373
14,-1,0.9683016349683017,0.9703036369703036,0.9706373039706373
15,-1,0.970970970970971,0.9726393059726393,0.9723056389723056
16,-1,0.973973973973974,0.9733066399733067,0.9743076409743077
17,-1,0.978978978978979,0.97997997997998,0.9783116449783117
18,-1,0.9806473139806473,0.9803136469803136,0.97997997997998
19,-1,0.986986986986987,0.9873206539873206,0.987987987987988
20,-1,0.9833166499833167,0.9843176509843177,0.9846513179846513
21,-1,0.9893226559893227,0.986986986986987,0.988988988988989
22,-1,0.9883216549883217,0.9883216549883217,0.9883216549883217
23,-1,0.9923256589923256,0.9916583249916583,0.992992992992993
24,-1,0.9893226559893227,0.988988988988989,0.9893226559893227
25,-1,0.9926593259926594,0.9923256589923256,0.9923256589923256
26,-1,0.9903236569903237,0.9916583249916583,0.9906573239906573
